UCT Agent      183MiB      184MiB      20.7%   0.248875s
Recycle-UCT    0MiB        0MiB        20.7%   0.07589s
UCT Agent      12MiB       12MiB       20.7%   0.081528s
Recycle-UCT    0MiB        0MiB        20.7%   0.048024s
UCT Agent      0MiB        0MiB        20.7%   0.035192s
Recycle-UCT    3059MiB     3060MiB     20.7%   4.460805s
UCT Agent      2680MiB     2681MiB     20.7%   4.104729s
Recycle-UCT    2186MiB     2186MiB     20.7%   2.463342s
UCT Agent      562MiB      562MiB      20.7%   0.531096s
Recycle-UCT    97MiB       97MiB       20.7%   0.133522s
UCT Agent      52MiB       52MiB       20.7%   0.103926s
Recycle-UCT    0MiB        0MiB        20.7%   0.053747s
UCT Agent      3MiB        3MiB        20.7%   0.044294s
Recycle-UCT    0MiB        0MiB        20.7%   0.036891s
UCT Agent      3062MiB     3064MiB     20.7%   4.477395s
Recycle-UCT    2680MiB     2681MiB     20.6%   4.299119s
UCT Agent      2199MiB     2199MiB     20.6%   2.635714s
Recycle-UCT    526MiB      526MiB      20.6%   0.563307s
UCT Agent      193MiB      194MiB      20.6%   0.254884s
Recycle-UCT    7MiB        7MiB        20.6%   0.066049s
UCT Agent      13MiB       13MiB       20.6%   0.057265s
Recycle-UCT    0MiB        0MiB        20.6%   0.026689s
Recycle-UCT    3058MiB     3060MiB     20.6%   4.473906s
UCT Agent      2679MiB     2680MiB     20.6%   4.286282s
Recycle-UCT    2191MiB     2192MiB     20.6%   3.358738s
UCT Agent      589MiB      589MiB      20.6%   0.498173s
Recycle-UCT    109MiB      110MiB      20.6%   0.149581s
UCT Agent      43MiB       43MiB       20.6%   0.086128s
Recycle-UCT    0MiB        0MiB        20.6%   0.039467s
UCT Agent      3067MiB     3068MiB     20.6%   4.477285s
Recycle-UCT    2678MiB     2679MiB     20.6%   3.83096s
UCT Agent      2195MiB     2196MiB     20.5%   3.002386s
Recycle-UCT    694MiB      695MiB      20.6%   0.722669s
UCT Agent      181MiB      182MiB      20.6%   0.199661s
Recycle-UCT    0MiB        0MiB        20.6%   0.066307s
UCT Agent      12MiB       12MiB       20.6%   0.065167s
Recycle-UCT    0MiB        0MiB        20.6%   0.040809s
UCT Agent      0MiB        0MiB        20.6%   0.020774s
Recycle-UCT    3061MiB     3063MiB     20.6%   4.662223s
UCT Agent      2678MiB     2679MiB     20.6%   3.987211s
Recycle-UCT    2171MiB     2171MiB     20.6%   2.614173s
UCT Agent      563MiB      563MiB      20.6%   0.619726s
Recycle-UCT    46MiB       46MiB       20.6%   0.159983s
UCT Agent      52MiB       52MiB       20.6%   0.1243s 
Recycle-UCT    1MiB        1MiB        20.6%   0.046962s
UCT Agent      3MiB        3MiB        20.6%   0.037651s
Recycle-UCT    0MiB        0MiB        20.6%   0.02108s
UCT Agent      3062MiB     3064MiB     20.6%   4.635468s
Recycle-UCT    2678MiB     2679MiB     20.6%   4.137118s
UCT Agent      2206MiB     2207MiB     20.5%   2.919477s
Recycle-UCT    534MiB      534MiB      20.5%   0.501222s
UCT Agent      185MiB      186MiB      20.5%   0.226958s
Recycle-UCT    2MiB        2MiB        20.5%   0.061883s
UCT Agent      13MiB       13MiB       20.5%   0.057946s
Recycle-UCT    0MiB        0MiB        20.5%   0.033587s
Recycle-UCT    3058MiB     3060MiB     20.8%   4.666487s
UCT Agent      2678MiB     2679MiB     20.7%   3.953787s
Recycle-UCT    2191MiB     2192MiB     20.7%   2.948593s
UCT Agent      662MiB      662MiB      20.7%   0.701322s
Recycle-UCT    155MiB      156MiB      20.7%   0.196633s
UCT Agent      52MiB       52MiB       20.7%   0.101582s
Recycle-UCT    1MiB        1MiB        20.7%   0.058338s
UCT Agent      3MiB        3MiB        20.7%   0.04481s
Recycle-UCT    0MiB        0MiB        20.7%   0.036077s
UCT Agent      3062MiB     3064MiB     20.7%   4.49109s
Recycle-UCT    2680MiB     2681MiB     20.8%   4.187809s
UCT Agent      2200MiB     2200MiB     20.7%   2.666669s
Recycle-UCT    537MiB      537MiB      20.7%   0.555993s
UCT Agent      196MiB      196MiB      20.7%   0.265035s
Recycle-UCT    8MiB        8MiB        20.7%   0.061435s
UCT Agent      13MiB       13MiB       20.7%   0.056559s
Recycle-UCT    0MiB        0MiB        20.7%   0.027165s
Recycle-UCT    3068MiB     3069MiB     20.8%   4.541665s
UCT Agent      2680MiB     2681MiB     20.7%   4.169581s
